shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;Milu Mascarilla Antifluido Doble Capa 1Ud;Available;1990;CRC;Mascarillas & Alcohol Gel/Spray;2;67;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;Mascarilla Desechable Caja 50 Ud;Sold out;24000;CRC;Mascarillas & Alcohol Gel/Spray;3;68;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;Sold out
Delimart - Guachipelin 🛒;Mascarilla Desechable Paquete 10 Ud;Available;4990;CRC;Mascarillas & Alcohol Gel/Spray;4;69;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;Alcohol En Spray Lavanda Milu 60 ml;Available;2990;CRC;Mascarillas & Alcohol Gel/Spray;5;70;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a8b7b636-10ef-4992-858d-a3def0eec21a.jpeg;undefined
Delimart - Guachipelin 🛒;Alcohol En Spray Menta Milu 60 ml;Available;2990;CRC;Mascarillas & Alcohol Gel/Spray;6;71;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/faa4530e-216b-4f2d-a8fc-cfc46932c97a.jpeg;undefined
Delimart - Guachipelin 🛒;Alcohol En Spray Naranja Milu 60 ml;Available;2990;CRC;Mascarillas & Alcohol Gel/Spray;7;72;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/9800bc34-9e2b-4d86-bffb-598cc09ba010.jpeg;undefined
Delimart - Guachipelin 🛒;Famo Alcohol En Gel 400 ml;Available;4200;CRC;Mascarillas & Alcohol Gel/Spray;8;73;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/18051804-efbe-4fac-a5ec-8abd575fd18a.jpeg;undefined
Delimart - Guachipelin 🛒;Germ-X Alcohol En Gel 250 ml;Available;2590;CRC;Mascarillas & Alcohol Gel/Spray;9;74;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;Germ-X Alcohol En Gel 60 ml;Available;990;CRC;Mascarillas & Alcohol Gel/Spray;10;75;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;Germ-X Jabon Liquido 250 ml;Available;2300;CRC;Mascarillas & Alcohol Gel/Spray;11;76;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;Hot Dog Salchicha Cheddar;Available;1500;CRC;Comida Rápida;1;77;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/43c17c31-836b-41b0-913f-2b3eb917a1d0.png;Elegí 3 Salsas ( Tomate, Mayonesa, Mostaza, Buffalo, Especial, Tica, BBQ, Tocineta, Agridulce) Elegí 3 Extras ( Papa triturada, Jalapeño, Repollo, Pico de Gallo, Chile con Carne, Piña, Pepinillos, Encurtido)
Delimart - Guachipelin 🛒;Hot Dog Salchicha Clásica;Available;1350;CRC;Comida Rápida;2;78;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/4bb1d05c-a482-4cd7-911d-b9c16f8143d9.png;Elegí 3 Salsas ( Tomate, Mayonesa, Mostaza, Buffalo, Especial, Tica, BBQ, Tocineta, Agridulce) Elegí 3 Extras ( Papa triturada, Jalapeño, Repollo, Pico de Gallo, Chile con Carne, Piña, Pepinillos, Encurtido)
Delimart - Guachipelin 🛒;Hot Dog Salchicha Pepperjack;Available;1500;CRC;Comida Rápida;3;79;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/ed8341d6-0a65-48a4-b2e0-cb629bf5a959.png;Elegí 3 Salsas ( Tomate, Mayonesa, Mostaza, Buffalo, Especial, Tica, BBQ, Tocineta, Agridulce) Elegí 3 Extras ( Papa triturada, Jalapeño, Repollo, Pico de Gallo, Chile con Carne, Piña, Pepinillos, Encurtido)
Delimart - Guachipelin 🛒;Nachos Con Queso Cheddar y Chili Con Carne;Available;1900;CRC;Comida Rápida;4;80;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/035fa802-e6a3-4d97-bbbe-4e704a1f96de.png;Elegí 3 Salsas ( Tomate, Mayonesa, Mostaza, Buffalo, Especial, Tica, BBQ, Tocineta, Agridulce) Elegí 3 Extras ( Papa triturada, Jalapeño, Repollo, Pico de Gallo, Chile con Carne, Piña, Pepinillos, Encurtido)
Delimart - Guachipelin 🛒;Gallo Pinto Con Huevo Revuelto y Platano Maduro 250 gr s;Sold out;1500;CRC;Desayunos;1;81;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/5d55100d-3f6a-42a1-8409-ca9adedc7de5.png;Sold out
Delimart - Guachipelin 🛒;Tortilla Con Queso 1 Ud;Sold out;600;CRC;Desayunos;2;82;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/bbd0c926-92e0-4dc0-a103-db651b8068c3.png;Sold out
